שם,קו-רוחב,קו-אורך,גובה-מטרים,Name
אופקים,31.309,34.61,170,Ofakim IL
אילת,29.55,34.95,0,Eilat IL
אלעד,32.05,34.95,150,Elad IL
אמסטרדם-הולנד,52.38108,4.88845,15,Amsterdam NL
אשדוד,31.79,34.641,0,Ashdod IL
אשקלון,31.65,34.56,60,Ashkelon IL
באר-שבע,31.24,34.79,0,Beer Sheva IL
בית-שאן,32.5,35.5,-120,Beit Shean IL
בית-שמש,31.74,34.98,300,Beit Shemesh IL
ביתר-עילית,31.69,35.12,800,Beitar Illit IL
בני-ברק,32.083156,34.832722,0,Bnei Brak IL
דימונה,31.07,35.03,570,Dimona IL
הקוטב-הצפוני,90,0,0,North Pole
הר רומם,30.5100176,34.6089109,1000,Mount Romem IL
הרצליה,32.16,34.84,0,Herzliya IL
וילנא-ליטא,54.672298,25.2697,112,Vilnius LT
ז'שוב-פולין,50.0332,21.985848,209,Rzeszow PL
זכרון יעקב,32.57,34.95,170,Zichron Yaakov IL
חברון,31.53,35.09,950,Hebron IL
חדרה,32.43,34.92,53,Hadera IL
חיפה,32.8,34.991,300,Haifa IL
חרשה,31.944738,35.1485598,760,Harasha
טבריה,32.79,35.531,0,Tiberias IL
טלזסטון,31.78,35.1,720,Telzstone IL
ירוחם,30.99,34.91,0,Yeruham IL
ירושלים,31.776812,35.235694,750,Jerusalem IL
כרמיאל,32.915,35.292,315,Carmiel IL
לוד,31.95,34.89,0,Lod IL
לונדון-אנגליה,51.5001524,-0.1262362,14.605533,London GB
מגדל-העמק,32.67,35.23,0,Migdal Haemek IL
מודיעין-עילית,31.940826,35.037057,320,Modi'in Illit IL
מוסקווה-רוסיה,55.755786,37.617633,151.189835,Moscow RU
מיצד,31.585503,35.187587,937,Meizad IL
מירון,32.98,35.43,700,Miron IL
מצפה רמון,30.6097894,34.8120107,855,Mitzpe Ramon IL
משווה-0-0,0,0,0,Equals 0-0
נהריה,33.01,35.1,25,Nahariya IL
נחליאל,31.9743,35.14038,575,Nahaliel
ניו-יורק-ארהב,40.7143528,-74.0059731,9.775694,New York US
נצרת-עילית,32.7,35.32,0,Nazareth Illit IL
נתיבות,31.42,34.59,142,Netivot IL
נתניה,32.34,34.86,0,Netanya IL
עכו,32.93,35.08,0,Ako IL
עמנואל,32.16,35.13,406,Emmanuel IL
עפולה,32.6,35.29,60,Afula IL
ערד,31.26,35.21,640,Arad IL
פראג-צ'כיה,50.0878114,14.4204598,191.103485,Prague CZ
פריז-צרפת,48.8566667,2.3509871,0,Paris FR
פרנקפורט-גרמניה,50.1115118,8.6805059,106.258285,Frankfurt DE
פתח-תקווה,32.09,34.88,0,Petah Tikva IL
צפת,32.962,35.496,850,Zefat IL
קהיר-מצרים,30.00022,31.231873,23,Cairo EG
קצרין,32.98,35.69,0,Katzrin IL
קרית-גת,31.61,34.77,159,Kiryat Gat IL
קרית-שמונה,33.2,35.56,0,Kiryat Shmona IL
ראש-העין,32.08,34.95,90,Rosh HaAyin IL
ראשון-לציון,31.96,34.8,0,Rishon Lezion IL
רומא-איטליה,41.8954656,12.4823243,19.704413,Rome IT
רחובות,31.89,34.81,76,Rechovot IL
רכסים,32.74,35.08,154,Rechasim IL
רמלה,31.92,34.86,0,Ramla IL
רמרוג-צרפת רת,48.518606,4.3034152,101,Ramerupt FR
רעננה,32.16,34.85,71,Raanana IL
שדרות,31.52,34.59,0,Sderot IL
תל-אביב-חולון,32.01,34.75,0,Tel Aviv-Holon IL
תפרח,31.32,34.67,173,Tifrach IL
